cluster,devicename,consumerno,2026-09-01,RECIEVED,EXPECTED,PERCENTAGE,INSTALLATION_DATE
cluster_1,ISKUS1596708,73215010232,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1596709,73215010240,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1596710,73215010259,1,1,1,100.0,2026-05-21 00:00:00
cluster_1,ISKUS1596751,27149105270,1,1,1,100.0,2026-06-11 00:00:00
cluster_1,ISKUS1596756,27102106530,1,1,1,100.0,2026-05-19 00:00:00
cluster_1,ISKUS1596757,27102106548,1,1,1,100.0,2026-04-19 00:00:00
cluster_1,ISKUS1596759,27139102562,1,1,1,100.0,2026-04-19 00:00:00
cluster_1,ISKUS1596760,27140105782,1,1,1,100.0,2026-04-19 00:00:00
cluster_1,ISKUS1596802,27001103837,1,1,1,100.0,2026-04-21 00:00:00
cluster_1,ISKUS1596804,27010225087,1,1,1,100.0,2026-05-10 00:00:00
cluster_1,ISKUS1596835,27011000364,1,1,1,100.0,2026-04-24 00:00:00
cluster_1,ISKUS1596855,27067106672,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1596857,27067106842,1,1,1,100.0,2026-06-21 00:00:00
cluster_1,ISKUS1596896,27001103772,1,1,1,100.0,2026-05-08 00:00:00
cluster_1,ISKUS1596908,27056110487,1,1,1,100.0,2026-06-17 00:00:00
cluster_1,ISKUS1596919,27004005496,1,1,1,100.0,2026-07-09 00:00:00
cluster_1,ISKUS1596930,27059100296,1,1,1,100.0,2026-05-01 00:00:00
cluster_1,ISKUS1596933,27007100929,1,1,1,100.0,2026-06-10 00:00:00
cluster_1,ISKUS1596935,27010103461,1,1,1,100.0,2026-04-28 00:00:00
cluster_1,ISKUS1596936,27010128030,1,1,1,100.0,2026-06-11 00:00:00
cluster_1,ISKUS1597001,77804267282,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597002,77804267096,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597003,77804267274,1,1,1,100.0,2026-05-05 00:00:00
